ID,Action,Activity Type,Timestamp,Career,Plan,Curricular Unit,Course Edition,Course Year,Grade,Credits,Unified Curricular Unit,Unified Curricular Unit Name
s,Evaluation,Course,Sun Jul 01 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1030,1,2018,6,9,1030,Geometria y Algebra Lineal 1
s,Evaluation,Exam,Sun Jul 01 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1030,,,6,9,1030,Geometria y Algebra Lineal 1
s,Evaluation,Course,Sun Jul 01 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1023,1,2018,6,9,1023,Matematica Discreta 1
s,Evaluation,Exam,Sun Jul 01 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1023,,,6,9,1023,Matematica Discreta 1
s,Evaluation,Course,Sun Jul 01 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1373,1,2018,6,10,1373,Prog 1
s,Evaluation,Exam,Sun Jul 01 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1373,,,6,10,1373,Prog 1
s,Evaluation,Course,Mon Dec 31 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1061,2,2018,6,13,1061,Calculo Div
s,Evaluation,Exam,Sat Dec 31 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1061,,,6,13,1061,Calculo Div
s,Evaluation,Course,Mon Dec 31 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1031,2,2018,6,9,1031,Geometria y Algebra Lineal 2
s,Evaluation,Exam,Sat Dec 31 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1031,,,6,9,1031,Geometria y Algebra Lineal 2
s,Evaluation,Course,Mon Dec 31 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1026,2,2018,6,9,1026,Matematica Discreta 2
s,Evaluation,Exam,Sat Dec 31 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1026,,,6,9,1026,Matematica Discreta 2
s,Evaluation,Course,Mon Dec 31 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1321,2,2018,6,12,1321,Prog 2
s,Evaluation,Exam,Sat Dec 31 03:00:00 UTC 2018,INGENIERIA EN COMPUTACION,1997,1321,,,6,12,1321,Prog 2
s,Evaluation,Exam,Mon Jul 01 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1062,,,6,13,1062,Calculo Divv
s,Evaluation,Course,Mon Jul 01 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1062,1,2019,6,13,1062,Calculo Divv
s,Evaluation,Course,Mon Jul 01 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1027,1,2019,6,12,1027,Logica
s,Evaluation,Exam,Mon Jul 01 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1027,,,6,12,1027,Logica
s,Evaluation,Course,Mon Jul 01 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1324,1,2019,6,15,1324,Prog 4
s,Evaluation,Course,Tue Dec 31 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1025,2,2019,6,10,1075,Probabilidad y Estadistica
s,Evaluation,Exam,Sun Dec 31 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1025,,,6,10,1075,Probabilidad y Estadistica
s,Evaluation,Exam,Mon Jul 01 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1324,,,6,15,1324,Prog 4
s,Evaluation,Course,Tue Dec 31 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1323,2,2019,6,15,1323,Prog 3
s,Evaluation,Exam,Sun Dec 31 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1323,,,6,15,1323,Prog 3
s,Evaluation,Course,Tue Dec 31 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1443,2,2019,6,12,1443,Arquitectura de computadoras
s,Evaluation,Exam,Sun Dec 31 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1443,,,6,12,1443,Arquitectura de computadoras
s,Evaluation,Course,Tue Dec 31 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1033,2,2019,6,8,1033,Metodos Numericos
s,Evaluation,Exam,Sun Dec 31 03:00:00 UTC 2019,INGENIERIA EN COMPUTACION,1997,1033,,,6,8,1033,Metodos Numericos
s,Evaluation,Course,Wed Jul 01 03:00:00 UTC 2020,INGENIERIA EN COMPUTACION,1997,1610,1,2020,6,10,1610,Int. a la inv. de Operaciones
